INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-10-01T21:00:00-00:00,2022-10-01T22:00:00-00:00,2022-10-01,15,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,43.7782,3
2022-10-01T13:00:00-00:00,2022-10-01T14:00:00-00:00,2022-10-01,7,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,65.65803,3
2022-10-02T00:00:00-00:00,2022-10-02T01:00:00-00:00,2022-10-01,18,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,68.00281,3
2022-10-01T14:00:00-00:00,2022-10-01T15:00:00-00:00,2022-10-01,8,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,55.78202,3
2022-10-01T20:00:00-00:00,2022-10-01T21:00:00-00:00,2022-10-01,14,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,38.56285,3
2022-10-01T08:00:00-00:00,2022-10-01T09:00:00-00:00,2022-10-01,2,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,60.72059,3
2022-10-01T10:00:00-00:00,2022-10-01T11:00:00-00:00,2022-10-01,4,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,57.34406,3
2022-10-01T12:00:00-00:00,2022-10-01T13:00:00-00:00,2022-10-01,6,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,58.9926,3
2022-10-02T01:00:00-00:00,2022-10-02T02:00:00-00:00,2022-10-01,19,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,79.77663,3
2022-10-02T02:00:00-00:00,2022-10-02T03:00:00-00:00,2022-10-01,20,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,74.87083,3
2022-10-01T18:00:00-00:00,2022-10-01T19:00:00-00:00,2022-10-01,12,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,31.72122,3
2022-10-01T22:00:00-00:00,2022-10-01T23:00:00-00:00,2022-10-01,16,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,47.34258,3
2022-10-02T05:00:00-00:00,2022-10-02T06:00:00-00:00,2022-10-01,23,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,67.23141,3
2022-10-01T23:00:00-00:00,2022-10-02T00:00:00-00:00,2022-10-01,17,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,50.62501,3
2022-10-02T03:00:00-00:00,2022-10-02T04:00:00-00:00,2022-10-01,21,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,71.35621,3
2022-10-02T06:00:00-00:00,2022-10-02T07:00:00-00:00,2022-10-01,24,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,62.5747,3
2022-10-01T07:00:00-00:00,2022-10-01T08:00:00-00:00,2022-10-01,1,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,62.97613,3
2022-10-01T09:00:00-00:00,2022-10-01T10:00:00-00:00,2022-10-01,3,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,58.85284,3
2022-10-01T11:00:00-00:00,2022-10-01T12:00:00-00:00,2022-10-01,5,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,57.62849,3
2022-10-01T17:00:00-00:00,2022-10-01T18:00:00-00:00,2022-10-01,11,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,31.8197,3
2022-10-02T04:00:00-00:00,2022-10-02T05:00:00-00:00,2022-10-01,22,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,69.70484,3
2022-10-01T15:00:00-00:00,2022-10-01T16:00:00-00:00,2022-10-01,9,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,43.5488,3
2022-10-01T16:00:00-00:00,2022-10-01T17:00:00-00:00,2022-10-01,10,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,35.33897,3
2022-10-01T19:00:00-00:00,2022-10-01T20:00:00-00:00,2022-10-01,13,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCE,LMP_ENE_PRC,DAVIS_1_N030,ALL,1,34.17874,3
2022-10-02T01:00:00-00:00,2022-10-02T02:00:00-00:00,2022-10-01,19,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,3.75748,4
2022-10-01T19:00:00-00:00,2022-10-01T20:00:00-00:00,2022-10-01,13,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,1.17917,4
2022-10-02T06:00:00-00:00,2022-10-02T07:00:00-00:00,2022-10-01,24,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.44041,4
2022-10-01T09:00:00-00:00,2022-10-01T10:00:00-00:00,2022-10-01,3,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.55421,4
2022-10-01T11:00:00-00:00,2022-10-01T12:00:00-00:00,2022-10-01,5,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.63938,4
2022-10-02T03:00:00-00:00,2022-10-02T04:00:00-00:00,2022-10-01,21,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.74721,4
